"Competition Name","Season","Match Date","Home Team","Away Team","    ","Score Home","Score Away","    ","Score Home HT","Score Away HT","    ","Odds Home", "Odds Away"
"Top 14","2013/14","31.05.2014 14:00","Toulon","Castres Olympique","","18","10","","12","10","","0.285714285714","3.0"
"Top 14","2013/14","17.05.2014 09:30","Montpellier Herault RC","Castres Olympique","","19","22","","10","13","","0.5","1.625"
"Top 14","2013/14","16.05.2014 13:45","Toulon","Racing 92","","16","6","","7","6","","0.4","2.0"
"Top 14","2013/14","10.05.2014 09:30","Clermont","Castres Olympique","","16","22","","9","6","","0.111111111111","5.5"
"Top 14","2013/14","09.05.2014 13:45","Stade Toulousain","Racing 92","","16","21","","3","12","","0.285714285714","2.75"
"Top 14","2013/14","03.05.2014 07:45","Bayonne","Castres Olympique","","23","13","","10","6","","0.5","1.625"
"Top 14","2013/14","03.05.2014 07:45","Bordeaux Begles","Biarritz","","54","20","","32","17","","0.0","16.0"
"Top 14","2013/14","03.05.2014 07:45","Brive","Union Sportive Oyonnax","","19","17","","6","3","","0.4","2.0"
"Top 14","2013/14","03.05.2014 07:45","Clermont","Usap Perpignan","","25","22","","16","16","","0.0909090909091","8.0"
"Top 14","2013/14","03.05.2014 07:45","Montpellier Herault RC","Racing 92","","44","10","","23","3","","0.3","2.5"
"Top 14","2013/14","03.05.2014 07:45","Stade Toulousain","Grenoble FC","","38","8","","7","3","","0.0","12.0"
"Top 14","2013/14","03.05.2014 07:45","Toulon","Stade Francais","","17","15","","3","10","","0.0909090909091","6.5"
"Top 14","2013/14","19.04.2014 13:35","Stade Francais","Bordeaux Begles","","37","23","","29","13","","0.142857142857","4.5"
"Top 14","2013/14","19.04.2014 11:30","Biarritz","Brive","","19","13","","9","3","","0.5","1.625"
"Top 14","2013/14","19.04.2014 11:30","Grenoble FC","Bayonne","","21","21","","13","7","","0.363636363636","2.2"
"Top 14","2013/14","19.04.2014 11:30","Racing 92","Clermont","","22","6","","9","6","","0.333333333333","2.4"
"Top 14","2013/14","19.04.2014 10:00","Usap Perpignan","Toulon","","31","46","","18","26","","1.0","0.8"
"Top 14","2013/14","19.04.2014 07:55","Union Sportive Oyonnax","Stade Toulousain","","19","19","","10","9","","0.8","1.0"
"Top 14","2013/14","18.04.2014 13:45","Castres Olympique","Montpellier Herault RC","","22","15","","16","9","","0.4","2.0"
"Top 14","2013/14","12.04.2014 13:35","Stade Toulousain","Brive","","16","9","","13","3","","0.0","10.0"
"Top 14","2013/14","12.04.2014 11:30","Bayonne","Stade Francais","","24","19","","12","10","","0.444444444444","1.8"
"Top 14","2013/14","12.04.2014 11:30","Grenoble FC","Montpellier Herault RC","","30","36","","6","27","","1.2","0.666666666667"
"Top 14","2013/14","12.04.2014 11:30","Racing 92","Biarritz","","37","7","","10","7","","None","20.0"
"Top 14","2013/14","12.04.2014 11:30","Usap Perpignan","Union Sportive Oyonnax","","22","12","","13","6","","0.166666666667","4.0"
"Top 14","2013/14","12.04.2014 08:00","Bordeaux Begles","Toulon","","20","22","","17","6","","0.571428571429","1.375"
"Top 14","2013/14","11.04.2014 13:45","Clermont","Castres Olympique","","23","11","","6","8","","0.0909090909091","6.5"
"Top 14","2013/14","05.04.2014 13:35","Union Sportive Oyonnax","Bordeaux Begles","","26","12","","16","12","","0.666666666667","1.2"
"Top 14","2013/14","29.03.2014 14:45","Toulon","Stade Toulousain","","32","28","","16","13","","0.2","3.5"
"Top 14","2013/14","29.03.2014 12:30","Biarritz","Castres Olympique","","34","34","","19","15","","2.75","0.285714285714"
"Top 14","2013/14","29.03.2014 12:30","Bordeaux Begles","Usap Perpignan","","23","5","","16","5","","0.142857142857","4.5"
"Top 14","2013/14","29.03.2014 12:30","Montpellier Herault RC","Bayonne","","43","27","","19","17","","0.0","9.0"
"Top 14","2013/14","29.03.2014 12:30","Union Sportive Oyonnax","Grenoble FC","","40","13","","23","6","","0.25","3.0"
"Top 14","2013/14","29.03.2014 08:55","Stade Francais","Racing 92","","22","32","","6","18","","0.571428571429","1.375"
"Top 14","2013/14","28.03.2014 14:45","Brive","Clermont","","26","24","","20","3","","0.8","1.0"
